Queries report:
Query number 1: Precision: 2.0 / 3.0 = .67; Recall: 2.0 / 7.0 = .29; F-score: .4
Query number 27: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 3.0 = .0; F-score: .0
Query number 28: Precision: 1.0 / 2.0 = .5; Recall: 1.0 / 5.0 = .2; F-score: .29
Query number 29: Precision: 0.0 / 1.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0
Query number 30: Precision: 3.0 / 16.0 = .19; Recall: 3.0 / 5.0 = .6; F-score: .29
Query number 31: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 7.0 = .0; F-score: .0
Query number 32: Precision: 1.0 / 3.0 = .33; Recall: 1.0 / 1.0 = 1.0; F-score: .5
Query number 33: Precision: 1.0 / 1.0 = 1.0; Recall: 1.0 / 2.0 = .5; F-score: .67
Query number 34: Precision: 1.0 / 1.0 = 1.0; Recall: 1.0 / 1.0 = 1.0; F-score: 1.0
Query number 35: Precision: 1.0 / 1.0 = 1.0; Recall: 1.0 / 1.0 = 1.0; F-score: 1.0
Query number 36: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 37: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0
Query number 38: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 39: Precision: 3.0 / 4.0 = .75; Recall: 3.0 / 9.0 = .33; F-score: .46
Query number 40: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 9.0 = .0; F-score: .0
Query number 41: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 6.0 = .0; F-score: .0
Query number 42: Precision: 0.0 / 12.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 43: Precision: 1.0 / 1.0 = 1.0; Recall: 1.0 / 2.0 = .5; F-score: .67
Query number 44: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0
Query number 45: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 5.0 = .0; F-score: .0
Query number 46: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 18.0 = .0; F-score: .0
Query number 47: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 6.0 = .0; F-score: .0
Query number 48: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 49: Precision: 6.0 / 8.0 = .75; Recall: 6.0 / 8.0 = .75; F-score: .75
Query number 50: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 51: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 3.0 = .0; F-score: .0
Query number 52: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0
Query number 53: Precision: 2.0 / 2.0 = 1.0; Recall: 2.0 / 2.0 = 1.0; F-score: 1.0
Query number 54: Precision: 1.0 / 4.0 = .25; Recall: 1.0 / 2.0 = .5; F-score: .33
Query number 55: Precision: 2.0 / 3.0 = .67; Recall: 2.0 / 12.0 = .17; F-score: .27
Query number 56: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 57: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0
Query number 58: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 8.0 = .0; F-score: .0
Query number 59: Precision: 1.0 / 1.0 = 1.0; Recall: 1.0 / 2.0 = .5; F-score: .67
Query number 60: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0

AvgPrecision: .26; AvgRecall: .25; F-score: .22
